window_mV,mean_eta_V,mean_j_mA_cm2,slope_mV_dec,R2,points,start_eta_V,end_eta_V
5,0.04149940718650007,0.00014319166666666665,3.9963731501235378,0.41836104761784393,6,0.03899967666600013,0.04399919166499999
5,0.04249929937400002,0.00016923333333333334,4.05434898642325,0.4417746790158803,6,0.039999838333000026,0.0449990297909999
5,0.04349919159600003,0.00019526666666666668,2.978703963927617,0.0430058248743497,6,0.04099935333200011,0.045999191665
5,0.04449902989450002,0.000234325,4.993457294421079,0.21669713466384055,6,0.041998868124,0.04699838312300009
5,0.045498895172,0.00026686666666666663,7.907952475298244,0.866577756078776,6,0.04299951499900012,0.04799805978899996
5,0.046498571665499984,0.0003450083333333333,8.388101860408266,0.8607653479383474,6,0.04399919166499999,0.04899757395999992
5,0.04749827513799997,0.0004166333333333334,8.339926024719846,0.8679257893439966,6,0.0449990297909999,0.049997412500000005
5,0.04849816736000002,0.0004426666666666667,6.6891945182019645,0.4233069983244351,6,0.045999191665,0.05099838312300009
5,0.0494980056585,0.00048172500000000007,-0.03808620822460967,3.224648329792451e-06,6,0.04699838312300009,0.051998221455999964
5,0.05049787079799998,0.0005143,-1.7508342829340737,0.006192573779108161,6,0.04799805978899996,0.05299757395999993
5,0.05149778982649999,0.0005338583333333334,-0.5851600639394628,0.0007173292628152017,6,0.04899757395999992,0.053997573960000045
5,0.052497762916500025,0.0005403583333333334,8.29831595580837,0.1572486554566361,6,0.049997412500000005,0.05499741250000013
5,0.05349765527650004,0.0005663583333333334,16.22624352221056,0.9243728675522457,6,0.05099838312300009,0.055996766660000086
5,0.054497493506000014,0.0006054333333333333,17.391080312043428,0.6044122335426029,6,0.051998221455999964,0.05699741249999989
5,0.05549730486000004,0.000651,23.732103024133515,0.3905404929675507,6,0.05299757395999993,0.05799708958000017
5,0.05649722413000009,0.0006705,21.51541825305862,0.2776587335102122,6,0.053997573960000045,0.05899708958000027
5,0.05749703576000009,0.0007160000000000001,20.520959698824473,0.3544229353150601,6,0.05499741250000013,0.059996443740000016
5,0.05849692812000007,0.000742,17.76467308170679,0.21025501160055343,6,0.055996766660000086,0.06099676665999998
5,0.05949684704500006,0.0007615833333333333,28.55138735078345,0.8259345942387952,6,0.05699741249999989,0.06199628021000003
5,0.060496577600000115,0.0008266666666666666,26.923018373559295,0.8285964177436188,6,0.05799708958000017,0.06299579583000026
