Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density
V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�
10 mV/s,10 mV/s,20 mV/s,20 mV/s,40 mV/s,40 mV/s,80 mV/s,80 mV/s,100 mV/s,100 mV/s,120 mV/s,120 mV/s,160 mV/s,160 mV/s,200 mV/s,200 mV/s
0.194,-0.001147,0.194,-0.002258,0.194,-0.004357,0.194,-0.008255,0.194,-0.01007,0.194,-0.01198,0.194,-0.01538,0.194,-0.018825
0.193,-0.001143,0.193,-0.0022695,0.193,-0.0043585,0.193,-0.00825,0.193,-0.01011,0.193,-0.01187,0.193,-0.01549,0.193,-0.01883
0.192,-0.0011335,0.192,-0.0022365,0.192,-0.0042995,0.192,-0.00815,0.192,-0.009935,0.192,-0.01179,0.192,-0.01518,0.192,-0.018605
0.191,-0.001137,0.191,-0.0022585,0.191,-0.004343,0.191,-0.008225,0.191,-0.010005,0.191,-0.01182,0.191,-0.01533,0.191,-0.018715
0.19,-0.0011535,0.19,-0.0022615,0.19,-0.0043365,0.19,-0.008245,0.19,-0.01004,0.19,-0.011945,0.19,-0.01533,0.19,-0.018725
0.189,-0.0011405,0.189,-0.002262,0.189,-0.00434,0.189,-0.00814,0.189,-0.010025,0.189,-0.0118,0.189,-0.01537,0.189,-0.01867
0.188,-0.0011505,0.188,-0.0022665,0.188,-0.00435,0.188,-0.008195,0.188,-0.01001,0.188,-0.011815,0.188,-0.015325,0.188,-0.018605
0.187,-0.0011405,0.187,-0.0022615,0.187,-0.0043275,0.187,-0.008225,0.187,-0.010035,0.187,-0.01181,0.187,-0.01526,0.187,-0.018655
0.186,-0.001152,0.186,-0.002258,0.186,-0.0043405,0.186,-0.00821,0.186,-0.01,0.186,-0.01186,0.186,-0.01523,0.186,-0.018725
0.185,-0.001152,0.185,-0.0022745,0.185,-0.0043515,0.185,-0.00823,0.185,-0.010035,0.185,-0.011785,0.185,-0.01527,0.185,-0.01871
0.184,-0.0011495,0.184,-0.00226,0.184,-0.004317,0.184,-0.00816,0.184,-0.009965,0.184,-0.01178,0.184,-0.01532,0.184,-0.01862
0.183,-0.00115,0.183,-0.002266,0.183,-0.0043425,0.183,-0.00817,0.183,-0.009905,0.183,-0.01175,0.183,-0.015245,0.183,-0.018545
0.182,-0.001162,0.182,-0.0022795,0.182,-0.0043525,0.182,-0.008205,0.182,-0.01001,0.182,-0.01187,0.182,-0.015245,0.182,-0.01863
0.181,-0.0011565,0.181,-0.0022675,0.181,-0.004342,0.181,-0.008165,0.181,-0.01001,0.181,-0.01176,0.181,-0.015245,0.181,-0.018475
0.18,-0.001168,0.18,-0.002289,0.18,-0.0043545,0.18,-0.008205,0.18,-0.01001,0.18,-0.011915,0.18,-0.01531,0.18,-0.01861
0.179,-0.001161,0.179,-0.0022775,0.179,-0.0043805,0.179,-0.00822,0.179,-0.01006,0.179,-0.011775,0.179,-0.01537,0.179,-0.018755
0.178,-0.0011645,0.178,-0.002275,0.178,-0.004335,0.178,-0.00822,0.178,-0.00992,0.178,-0.011825,0.178,-0.01521,0.178,-0.01843
0.177,-0.001173,0.177,-0.0023055,0.177,-0.004366,0.177,-0.00817,0.177,-0.009995,0.177,-0.011815,0.177,-0.01519,0.177,-0.018645
0.176,-0.001166,0.176,-0.0022835,0.176,-0.004338,0.176,-0.008195,0.176,-0.0099,0.176,-0.0117,0.176,-0.01522,0.176,-0.018575
0.175,-0.001166,0.175,-0.0022815,0.175,-0.0043805,0.175,-0.00824,0.175,-0.00996,0.175,-0.011765,0.175,-0.015285,0.175,-0.01852
0.174,-0.001181,0.174,-0.002299,0.174,-0.00437,0.174,-0.00823,0.174,-0.01003,0.174,-0.011845,0.174,-0.015245,0.174,-0.01858
0.173,-0.0011785,0.173,-0.0022955,0.173,-0.004379,0.173,-0.0082,0.173,-0.009975,0.173,-0.011745,0.173,-0.015245,0.173,-0.018625
0.172,-0.001184,0.172,-0.002308,0.172,-0.0043935,0.172,-0.00823,0.172,-0.01,0.172,-0.011845,0.172,-0.01525,0.172,-0.01862
0.171,-0.0011855,0.171,-0.0023085,0.171,-0.004374,0.171,-0.0082,0.171,-0.01,0.171,-0.011815,0.171,-0.015275,0.171,-0.018565
0.17,-0.00119,0.17,-0.002293,0.17,-0.00438,0.17,-0.008225,0.17,-0.009965,0.17,-0.011845,0.17,-0.015205,0.17,-0.018585
0.169,-0.001197,0.169,-0.002311,0.169,-0.0044185,0.169,-0.008275,0.169,-0.010135,0.169,-0.01183,0.169,-0.01532,0.169,-0.018695
0.168,-0.0011955,0.168,-0.002322,0.168,-0.004398,0.168,-0.008205,0.168,-0.00999,0.168,-0.01189,0.168,-0.01525,0.168,-0.0185
0.167,-0.0011875,0.167,-0.002313,0.167,-0.004422,0.167,-0.0082,0.167,-0.010005,0.167,-0.011645,0.167,-0.015245,0.167,-0.01855
0.166,-0.0012045,0.166,-0.0023355,0.166,-0.0043995,0.166,-0.008265,0.166,-0.00998,0.166,-0.01195,0.166,-0.015335,0.166,-0.018675
0.165,-0.0012015,0.165,-0.002329,0.165,-0.004431,0.165,-0.00826,0.165,-0.010105,0.165,-0.01182,0.165,-0.01532,0.165,-0.018565
0.164,-0.001214,0.164,-0.0023515,0.164,-0.004453,0.164,-0.00831,0.164,-0.010105,0.164,-0.011945,0.164,-0.015315,0.164,-0.01871
0.163,-0.0012125,0.163,-0.0023465,0.163,-0.004423,0.163,-0.00834,0.163,-0.010065,0.163,-0.011855,0.163,-0.01531,0.163,-0.018675
0.162,-0.00122,0.162,-0.002341,0.162,-0.0044685,0.162,-0.008335,0.162,-0.010075,0.162,-0.011975,0.162,-0.01536,0.162,-0.01872
0.161,-0.0012245,0.161,-0.0023665,0.161,-0.0044865,0.161,-0.008365,0.161,-0.010195,0.161,-0.011945,0.161,-0.015435,0.161,-0.018785
0.16,-0.0012305,0.16,-0.002381,0.16,-0.004493,0.16,-0.00832,0.16,-0.01012,0.16,-0.012015,0.16,-0.0154,0.16,-0.018675
0.159,-0.0012265,0.159,-0.002363,0.159,-0.004497,0.159,-0.00834,0.159,-0.01018,0.159,-0.01197,0.159,-0.015525,0.159,-0.01889
0.158,-0.001246,0.158,-0.002392,0.158,-0.0045075,0.158,-0.00845,0.158,-0.01019,0.158,-0.012115,0.158,-0.01549,0.158,-0.01881
0.157,-0.0012375,0.157,-0.002385,0.157,-0.004512,0.157,-0.008335,0.157,-0.010175,0.157,-0.01199,0.157,-0.015525,0.157,-0.01886
0.156,-0.001248,0.156,-0.0024075,0.156,-0.004522,0.156,-0.00843,0.156,-0.010225,0.156,-0.01211,0.156,-0.015565,0.156,-0.01899
0.155,-0.00125,0.155,-0.002408,0.155,-0.004527,0.155,-0.00846,0.155,-0.01028,0.155,-0.012025,0.155,-0.01554,0.155,-0.01889
0.154,-0.001257,0.154,-0.002419,0.154,-0.004583,0.154,-0.008485,0.154,-0.010315,0.154,-0.012185,0.154,-0.015655,0.154,-0.018975
0.153,-0.0012665,0.153,-0.0024365,0.153,-0.004574,0.153,-0.00852,0.153,-0.010285,0.153,-0.01218,0.153,-0.01572,0.153,-0.01918
0.152,-0.001264,0.152,-0.0024255,0.152,-0.004565,0.152,-0.00847,0.152,-0.01035,0.152,-0.012085,0.152,-0.01568,0.152,-0.018975
0.151,-0.0012705,0.151,-0.002444,0.151,-0.00459,0.151,-0.00852,0.151,-0.010325,0.151,-0.012105,0.151,-0.015625,0.151,-0.019075
