Ni_foil_CV 10 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 20 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 40 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 80 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 100 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 120 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 160 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 200 mV.txt Potential V,Current density mA/cm^2
10 mV/s,10 mV/s,20 mV/s,20 mV/s,40 mV/s,40 mV/s,80 mV/s,80 mV/s,100 mV/s,100 mV/s,120 mV/s,120 mV/s,160 mV/s,160 mV/s,200 mV/s,200 mV/s
0.188,-0.001147,0.188,-0.0022665,0.188,-0.00434,0.188,-0.008215,0.188,-0.01,0.188,-0.011895,0.188,-0.01519,0.188,-0.01867
0.187,-0.001135,0.187,-0.0022615,0.187,-0.0043405,0.187,-0.008245,0.187,-0.00998,0.187,-0.011835,0.187,-0.01531,0.187,-0.01866
0.186,-0.001148,0.186,-0.002258,0.186,-0.004324,0.186,-0.008195,0.186,-0.009965,0.186,-0.011785,0.186,-0.01538,0.186,-0.01869
0.185,-0.0011555,0.185,-0.0022745,0.185,-0.004338,0.185,-0.0082,0.185,-0.010025,0.185,-0.01183,0.185,-0.01527,0.185,-0.018605
0.184,-0.001143,0.184,-0.00226,0.184,-0.004326,0.184,-0.008165,0.184,-0.010015,0.184,-0.01183,0.184,-0.01525,0.184,-0.018505
0.183,-0.00115,0.183,-0.002266,0.183,-0.0043435,0.183,-0.00819,0.183,-0.00993,0.183,-0.01172,0.183,-0.015185,0.183,-0.018725
0.182,-0.0011565,0.182,-0.0022795,0.182,-0.004337,0.182,-0.008205,0.182,-0.009955,0.182,-0.011835,0.182,-0.015335,0.182,-0.01858
0.181,-0.001154,0.181,-0.0022675,0.181,-0.0043385,0.181,-0.00813,0.181,-0.009945,0.181,-0.011685,0.181,-0.01526,0.181,-0.01855
0.18,-0.001164,0.18,-0.002289,0.18,-0.0043605,0.18,-0.00821,0.18,-0.01,0.18,-0.011945,0.18,-0.015235,0.18,-0.018605
0.179,-0.001163,0.179,-0.0022775,0.179,-0.0043545,0.179,-0.00821,0.179,-0.010045,0.179,-0.01181,0.179,-0.015295,0.179,-0.018745
0.178,-0.001161,0.178,-0.002275,0.178,-0.004347,0.178,-0.008185,0.178,-0.009925,0.178,-0.01184,0.178,-0.015275,0.178,-0.018465
0.177,-0.0011725,0.177,-0.0023055,0.177,-0.004363,0.177,-0.008215,0.177,-0.01004,0.177,-0.011785,0.177,-0.01527,0.177,-0.01865
0.176,-0.00116,0.176,-0.0022835,0.176,-0.0043285,0.176,-0.008165,0.176,-0.00994,0.176,-0.01178,0.176,-0.01513,0.176,-0.018565
0.175,-0.0011705,0.175,-0.0022815,0.175,-0.0043725,0.175,-0.00819,0.175,-0.009985,0.175,-0.01175,0.175,-0.01524,0.175,-0.018505
0.174,-0.0011775,0.174,-0.002299,0.174,-0.0043865,0.174,-0.00826,0.174,-0.01002,0.174,-0.01188,0.174,-0.015305,0.174,-0.018665
0.173,-0.001175,0.173,-0.0022955,0.173,-0.0043775,0.173,-0.008195,0.173,-0.00998,0.173,-0.01173,0.173,-0.015255,0.173,-0.018635
0.172,-0.001183,0.172,-0.002308,0.172,-0.004375,0.172,-0.00822,0.172,-0.010025,0.172,-0.011855,0.172,-0.01525,0.172,-0.018615
0.171,-0.001184,0.171,-0.0023085,0.171,-0.004384,0.171,-0.00821,0.171,-0.009975,0.171,-0.01181,0.171,-0.015275,0.171,-0.01854
0.17,-0.0011885,0.17,-0.002293,0.17,-0.0043735,0.17,-0.00824,0.17,-0.010025,0.17,-0.011825,0.17,-0.015205,0.17,-0.018585
0.169,-0.0011855,0.169,-0.002311,0.169,-0.004422,0.169,-0.008235,0.169,-0.010045,0.169,-0.01182,0.169,-0.01526,0.169,-0.018695
0.168,-0.001187,0.168,-0.002322,0.168,-0.004394,0.168,-0.00823,0.168,-0.00999,0.168,-0.01195,0.168,-0.015285,0.168,-0.018635
0.167,-0.001187,0.167,-0.002313,0.167,-0.0043995,0.167,-0.008205,0.167,-0.01004,0.167,-0.01171,0.167,-0.01527,0.167,-0.018415
0.166,-0.001207,0.166,-0.0023355,0.166,-0.0043985,0.166,-0.008265,0.166,-0.010055,0.166,-0.011905,0.166,-0.01536,0.166,-0.01863
0.165,-0.0012005,0.165,-0.002329,0.165,-0.0044185,0.165,-0.00829,0.165,-0.010065,0.165,-0.011845,0.165,-0.015315,0.165,-0.01859
0.164,-0.0012035,0.164,-0.0023515,0.164,-0.004448,0.164,-0.008305,0.164,-0.01007,0.164,-0.01196,0.164,-0.0153,0.164,-0.01871
0.163,-0.001208,0.163,-0.0023465,0.163,-0.004452,0.163,-0.008305,0.163,-0.0101,0.163,-0.011855,0.163,-0.01535,0.163,-0.0187
0.162,-0.0012185,0.162,-0.002341,0.162,-0.0044705,0.162,-0.00835,0.162,-0.01009,0.162,-0.011945,0.162,-0.01543,0.162,-0.0187
0.161,-0.0012265,0.161,-0.0023665,0.161,-0.0044715,0.161,-0.008345,0.161,-0.01018,0.161,-0.01199,0.161,-0.01542,0.161,-0.018735
0.16,-0.0012195,0.16,-0.002381,0.16,-0.0044725,0.16,-0.008375,0.16,-0.010135,0.16,-0.012,0.16,-0.015465,0.16,-0.01874
0.159,-0.0012305,0.159,-0.002363,0.159,-0.004506,0.159,-0.008375,0.159,-0.010205,0.159,-0.01199,0.159,-0.015455,0.159,-0.018955
0.158,-0.001243,0.158,-0.002392,0.158,-0.004511,0.158,-0.00844,0.158,-0.01017,0.158,-0.0121,0.158,-0.015465,0.158,-0.01876
0.157,-0.00123,0.157,-0.002385,0.157,-0.004506,0.157,-0.008365,0.157,-0.010205,0.157,-0.011925,0.157,-0.01553,0.157,-0.01881
0.156,-0.00125,0.156,-0.0024075,0.156,-0.004539,0.156,-0.00841,0.156,-0.010265,0.156,-0.01214,0.156,-0.015485,0.156,-0.01893
0.155,-0.001248,0.155,-0.002408,0.155,-0.004546,0.155,-0.008445,0.155,-0.01022,0.155,-0.012075,0.155,-0.015635,0.155,-0.019
0.154,-0.0012605,0.154,-0.002419,0.154,-0.0045615,0.154,-0.0085,0.154,-0.010355,0.154,-0.01222,0.154,-0.01563,0.154,-0.019005
0.153,-0.001264,0.153,-0.0024365,0.153,-0.0045685,0.153,-0.00848,0.153,-0.010365,0.153,-0.012155,0.153,-0.015675,0.153,-0.01912
0.152,-0.0012625,0.152,-0.0024255,0.152,-0.004583,0.152,-0.00848,0.152,-0.010275,0.152,-0.01218,0.152,-0.01568,0.152,-0.018975
0.151,-0.001267,0.151,-0.002444,0.151,-0.004596,0.151,-0.00855,0.151,-0.010355,0.151,-0.01212,0.151,-0.015665,0.151,-0.01908
